,Name,Year,Year1Csh,Year2Csh,Year3Csh,Year4Csh,Year5Csh,Year6Csh,Year7Csh,Year8Csh,Year9Csh,Year10Csh
73,Haason Reddick,2022,15000000,15000000,15000000,0,0,0,0,0,0,0
74,Harold Landry,2022,20250000,15000000,17250000,17500000,17500000,0,0,0,0,0
75,Harrison Phillips,2022,8500000,4500000,6500000,0,0,0,0,0,0,0
76,Hunter Renfrow,2022,10809000,11549000,11882000,0,0,0,0,0,0,0
77,Ian Thomas,2022,6435000,5065000,5450000,0,0,0,0,0,0,0
78,Isaiah McKenzie,2022,2175000,2225000,0,0,0,0,0,0,0,0
79,J.C. Jackson,2022,28000000,12000000,14375000,14025000,14100000,0,0,0,0,0
80,J.D. McKissic,2022,4000000,3000000,0,0,0,0,0,0,0,0
81,Jacob Martin,2022,5000000,5000000,3500000,0,0,0,0,0,0,0
82,Jaire Alexander,2022,31076000,14000000,16000000,17500000,19500000,0,0,0,0,0
83,Jake Matthews,2022,24500000,15500000,15500000,0,0,0,0,0,0,0
84,Jakeem Grant,2022,3205000,3235000,3560000,0,0,0,0,0,0,0
85,Jalen Reeves-Maybin,2022,4000000,3500000,0,0,0,0,0,0,0,0
